Reference, Value, Footprint, Datasheet
U1,L298,H_Bridge:L298,
D4,D,Diodes_ThroughHole:Diode_TO-220_Horizontal,
D5,D,Diodes_ThroughHole:Diode_TO-220_Horizontal,
D6,D,Diodes_ThroughHole:Diode_TO-220_Horizontal,
D7,D,Diodes_ThroughHole:Diode_TO-220_Horizontal,
R1,PF1262,H_Bridge:PF1262,
P1,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,
U2,LM75A,H_Bridge:LM75A,
R2,10k,Resistors_SMD:R_0201,
R3,10k,Resistors_SMD:R_0201,
R4,10k,Resistors_SMD:R_0201,
D1,LED,LEDs:LED-3MM,
D2,LED,LEDs:LED-3MM,
D3,LED,LEDs:LED-3MM,
R6,10k,Resistors_SMD:R_0201,
R7,10k,Resistors_SMD:R_0201,
R8,10k,Resistors_SMD:R_0201,
P3,CONN_01X03,Pin_Headers:Pin_Header_Angled_1x03,
P5,CONN_01X01,Pin_Headers:Pin_Header_Angled_1x01,
P2,CONN_01X02,Pin_Headers:Pin_Header_Angled_1x02,
C1,0.22uF,Capacitors_SMD:c_elec_4x4.5,
C2,0.22uF,Capacitors_SMD:c_elec_4x4.5,
D8,TVS,Diodes_ThroughHole:Diode_P600_Horizontal,
P4,CONN_01X06,Pin_Headers:Pin_Header_Angled_1x06,
P6,CONN_01X05,Pin_Headers:Pin_Header_Angled_1x05,
